GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	EV_ATC_RIF	EV_ATC_noDrug
MT0991	MT0991	hypothetical protein	hypoxia_late:24%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	0.7927	0.767202901477635	177.14	319	7	9	357	583	12.75	5.1
dxs2	Rv3379c	1-deoxy-D-xylulose 5-phosphate synthase	hypoxia_late:32%; ctl_stationary:12%; PBS_RIF_DDmtb:11%	0.3011	0.266930825996212	172.78	167	154	122	184	249	14.24	11.15
Rv1144	Rv1144	oxidoreductase	nutrient_limitation:14%; PBS_RIF_DDmtb:14%; butyrate:10%	0.2516	0.0599487820348698	161.95	185	220	120	166	129	209.21	174.04
Rv1972	Rv1972	Mce associated membrane protein	hypoxia_late:39%; ctl_stationary:12%	0.4073	0.589668644683667	180.92	219	59	60	275	418	11.85	8.19
Rv3269	Rv3269	hypothetical protein	hypoxia_fatty_acids:36%; butyrate:11%	0.2816	0.116156701420892	195.44	133	303	349	165	89	1953.15	1591.59
pstC2	Rv0929	phosphate ABC transporter permease PstC	hypoxia_late:18%	0.2668	0.119882148419397	169.58	174	208	134	170	166	84.6	69.55
mesJ	Rv3625c	tRNA(Ile)-lysidine synthase	hypoxia_late:19%; microaerophilic:14%	0.2805	0.14549081309028	183.7	142	248	265	168	118	119.59	97.24
Rv0197	Rv0197	oxidoreductase	hypoxia_late:18%	0.27	0.102760282829269	185.85	154	286	272	155	98	83.06	68.05
MT1190	MT1190	hypothetical protein	cholesterol:16%	0.323	0.27616676813477	212.77	188	318	398	148	86	825.47	652.92
papA1	Rv3824c	acyltransferase PapA	acidic:17%; nutrient_limitation:14%; butyrate_plus_glucose:11%; PBS_RIF_DDmtb:11%	0.2526	0.0631264421434958	178.23	183	272	185	161	109	166.53	138.53
Rv2037c	Rv2037c	transmembrane protein	hypoxia_fatty_acids:14%; hypoxia_late:11%	0.2636	0.123462597202552	174.25	182	219	142	157	176	79.77	65.74
Rv1395	Rv1395	HTH-type transcriptional regulator	nutrient_limitation:25%; PBS_RIF_DDmtb:17%; ctl_stationary:15%	0.2965	0.230484230185672	198.59	127	241	311	190	150	62.48	50.04
Rv3098A	Rv3098A	PemK-like protein	ctl_stationary:12%	0.2815	0.19558717193486	191.12	190	246	234	159	138	281.2	229.37
cyp144	Rv1777	cytochrome P450 Cyp144	hypoxia_late:20%; ctl_stationary:14%; PBS_RIF_DDmtb:13%	0.3073	0.320822861430249	194.47	169	180	156	183	299	16.05	12.58
Rv1669	Rv1669	hypothetical protein	hypoxia_late:35%; ctl_stationary:13%; human_sputum:11%	0.557	0.748255466647508	197.45	261	40	83	303	452	8.86	4.93
PE1	Rv0151c	PE family protein PE1	hypoxia_late:17%; PBS_RIF_DDmtb:17%; human_sputum:11%; ctl_stationary:11%	0.2631	0.137212428249259	178.91	193	228	139	158	183	35.64	29.26
PE_PGRS10	Rv0747	PE-PGRS family protein PE_PGRS10	microaerophilic:31%; hypoxia_late:12%	0.2866	0.211442894260765	208.36	203	309	324	150	102	59.12	47.74
iniC	Rv0343	iIsoniazid inductible protein IniC	hypoxia_rar:11%	0.2518	0.0874953834126262	192.01	179	273	219	187	119	207.2	172.02
MT2541	MT2541	hypothetical protein	hypoxia_fatty_acids:18%; ctl_stationary:10%	0.2693	0.184932988020563	191.5	189	230	158	185	199	62.56	51.25
mce3F	Rv1971	Mce family protein Mce3F	hypoxia_late:28%; ctl_stationary:13%	0.3489	0.549739801391993	212.47	224	168	160	207	321	8.9	6.57
Rv0193c	Rv0193c	hypothetical protein	hypoxia_late:19%; PBS_RIF_DDmtb:12%; ctl_stationary:11%; human_sputum:11%	0.2626	0.184521439760144	185.52	195	202	117	200	224	25.63	20.91
moaC3	Rv3324c	cyclic pyranopterin monophosphate synthase accessory protein	hypoxia_late:21%; human_sputum:14%; ctl_stationary:10%	0.3212	0.492816665106807	208.56	210	133	131	234	378	26.99	21.02
vapB26	Rv0581	antitoxin VapB26	ctl_exponential:12%; ctl_stationary:11%	0.2625	0.139360213655403	195.45	177	255	233	182	141	608.06	501.72
Rv1906c	Rv1906c	hypothetical protein	human_sputum:9%	0.2634	0.133397953253881	202.76	198	288	270	169	115	457.8	378.21
Rv2090	Rv2090	5'-3' exonuclease	hypoxia_late:10%	0.2391	0.073265731797228	187.08	215	262	153	186	133	160.96	134.92
PPE57	Rv3425	PPE family protein PPE57	nutrient_limitation:19%; hypoxia_rar:13%; human_sputum:11%	0.2786	0.240408999439767	201.37	197	245	225	178	167	130.2	106.2
MT4035.1	MT4035.1	hypothetical protein	microaerophilic:18%; ctl_stationary:12%	0.2584	0.132753066861427	195.9	191	269	205	172	152	405.93	336.46
rsbW	Rv3287c	anti-sigma factor RsbW	microaerophilic:24%; nutrient_limitation:14%; ctl_stationary:14%	0.3019	0.313435809723185	220.5	196	278	335	175	145	169.53	135.89
yrbE4B	Rv3500c	integral membrane protein	hypoxia_late:15%	0.2689	0.181720097903209	209.2	168	263	275	199	155	122.28	100.2
dnaE2	Rv3370c	error-prone DNA polymerase	microaerophilic:27%; hypoxia_late:18%; zinc_limitation:12%	0.2738	0.194224313627858	217.68	207	313	320	176	111	49.64	40.45
Rv1786	Rv1786	ferredoxin	hypoxia_late:22%; ctl_stationary:11%	0.3333	0.517857490309845	225.82	187	151	203	247	369	75.27	58.37
MT0608	MT0608	hypothetical protein	microaerophilic:8%	0.2486	0.121471210973794	198.72	208	275	180	181	159	261.87	218.5
crgA	Rv0011c	cell division protein CrgA	INDIGO_exponential:10%	0.2808	0.275673214855666	209.42	178	235	186	210	242	150.48	122.54
MT1178	MT1178	hypothetical protein	butyrate:32%; acidic_tyloxopol:15%; butyrate_plus_glucose:12%	0.271	0.19976674374648	216.49	194	284	305	189	134	820	674.56
MTS1827	MTS1827	small intergenic RNA	acidic_tyloxopol:12%	0.292	0.373894711573935	210.73	186	178	137	251	326	113.2	90.84
PE2	Rv0152c	PE family protein PE2	hypoxia_late:25%; PBS_RIF_DDmtb:15%; ctl_stationary:12%	0.3211	0.413100449453454	235.68	204	304	360	179	161	27.82	21.71
Rv1575	Rv1575	phage protein	microaerophilic:47%	0.3359	0.526747277910815	229.27	209	201	301	211	231	50.36	38.96
vapB20	Rv2550c	antitoxin VapB20	PBS_RIF_DDmtb:12%	0.2912	0.31322807890731	220.65	163	232	267	225	223	171.57	138.08
Rv0687	Rv0687	NAD-dependent oxidoreductase	microaerophilic:17%; ctl_stationary:16%	0.2627	0.17547585341649	211.45	192	282	221	196	174	113.3	93.29
Rv2161c	Rv2161c	hypothetical protein	microaerophilic:23%; cholesterol:12%; acidic:11%	0.258	0.118502065494563	220.27	176	339	332	195	107	1129.85	936.26
Rv1499	Rv1499	hypothetical protein	ctl_stationary:12%; hypoxia_late:10%	0.3321	0.577942884973948	220.91	214	147	163	252	358	40.95	31.65
MT3767.3	MT3767.3	hypothetical protein	hypoxia_late:23%; PBS_RIF_DDmtb:16%; ctl_stationary:14%; human_sputum:13%	0.8092	0.858346311775169	217.02	459	2	2	556	667	10.6	3.79
PE_PGRS3	Rv0278c	PE-PGRS family protein PE_PGRS3	microaerophilic:30%; hypoxia_late:29%	0.289	0.272572505222377	227.9	205	332	343	173	127	34.77	27.92
ackA	Rv0409	acetate kinase	zinc_limitation:8%	0.2409	0.106870993949492	208.74	217	295	220	188	139	165.26	138.45
Rv0611c	Rv0611c	hypothetical protein	human_sputum:11%	0.2728	0.218715827135673	227.03	166	294	327	209	163	265.27	217.21
MT0494	MT0494	hypothetical protein	butyrate_plus_glucose:9%	0.282	0.310195415922792	225.2	212	268	271	193	189	401.95	327.64
PE_PGRS54	Rv3508	PE-PGRS family protein PE_PGRS54	cholesterol:19%; hypoxia_late:17%	0.3137	0.417884765285886	244.07	181	291	393	147	245	132.63	105.52
parE2	Rv2142c	toxin ParE2	ctl_stationary:11%	0.3511	0.638673676610888	235.89	250	196	261	202	276	55.71	42.77
Rv3818	Rv3818	hypothetical protein	hypoxia_late:10%	0.2541	0.16343190386419	221.16	229	320	287	177	123	139.9	116.11
Rv2698	Rv2698	transmembrane protein	PBS_RIF_DDmtb:12%; ctl_stationary:10%	0.2698	0.24416772904954	225.26	200	280	295	208	158	244.7	200.44
MT3718.1	MT3718.1	hypothetical protein	acidic_tyloxopol:14%	0.4291	0.741371450247639	234.54	251	78	84	326	609	22.35	15.26
ppsA	Rv2931	phthiocerol synthesis polyketide synthase type I PpsA	zinc_limitation:16%; hypoxia_rar:12%; human_sputum:10%	0.2334	0.105467794552179	212	218	301	206	223	130	273.03	230.3
Rv2693c	Rv2693c	integral membrane protein	ctl_stationary:18%; PBS_RIF_DDmtb:16%	0.2507	0.185834574887763	221.18	202	277	237	217	179	166.78	138.54
Rv2887	Rv2887	HTH-type transcriptional regulator	PBS_RIF_DDmtb:8%	0.3461	0.629645672814045	251.05	285	326	399	160	136	111.58	86.37
MT3491.1	MT3491.1	hypothetical protein	INDIGO_exponential:17%	0.3805	0.694507024970957	250.28	227	153	194	289	430	70.12	52.44
PPE39	Rv2353c	PPE family protein PPE39	human_sputum:45%; hypoxia_late:23%; ctl_stationary:10%	0.4323	0.75228672271584	248.6	257	175	321	214	290	8.8	5.89
MT3207	MT3207	hypothetical protein	hypoxia_late:42%; ctl_stationary:13%; microaerophilic:12%; PBS_RIF_DDmtb:11%	0.8437	0.878805513119745	233.55	508	1	1	644	702	7.73	2.32
MT0725	MT0725	hypothetical protein	hypoxia_hypoxic:10%	0.3049	0.523973520911459	242.38	211	176	196	256	402	189.11	150.48
Rv2949c	Rv2949c	chorismate pyruvate-lyase	INDIGO_exponential:15%; acidic:12%	0.2851	0.373079340018771	254.49	148	271	357	206	320	877.44	715.06
Rv2311	Rv2311	hypothetical protein	hypoxia_late:27%; ctl_stationary:11%	0.3342	0.592301756915842	267.78	201	211	303	268	374	27.91	21.41
MT0069	MT0069	hypothetical protein	microaerophilic:17%; cholesterol:12%	0.2823	0.403678397838896	246.93	199	252	263	218	310	205.27	167.33
Rv0188	Rv0188	transmembrane protein	hypoxia_fatty_acids:22%; acidic:16%; cholesterol:11%	0.2695	0.267246418243426	251.19	228	356	395	201	126	437.12	359.14
rpmB1	Rv0105c	50S ribosomal protein L28	hypoxia_late:44%; ctl_stationary:14%	0.754	0.896587839454564	228.9	451	5	13	519	665	4.17	1.06
Rv3424c	Rv3424c	hypothetical protein	human_sputum:18%; nutrient_limitation:12%	0.2866	0.467025437782728	242.15	226	250	256	212	269	92.8	75.37
vapC14	Rv1953	ribonuclease VapC14	acidic_tyloxopol:11%	0.3005	0.593326156463771	236.03	242	132	125	286	470	47.66	37.78
PPE63	Rv3539	PPE family protein PPE63	hypoxia_late:17%	0.2725	0.38581991047131	238.49	230	276	239	198	253	27.48	22.32
echA7	Rv0971c	enoyl-CoA hydratase EchA7	microaerophilic:40%; hypoxia_late:12%	0.2768	0.342049819464365	256.56	180	310	340	240	229	64.82	52.54
Rv2169c	Rv2169c	transmembrane protein	acidic:11%	0.2326	0.204238272182786	225.27	237	290	170	233	205	278.82	235.02
Rv0622	Rv0622	membrane protein	hypoxia_late:19%; ctl_stationary:11%	0.3216	0.684675436975534	254.77	249	181	171	285	425	13.38	10.18
Rv3377c	Rv3377c	type B diterpene cyclase	human_sputum:12%	0.2627	0.277033940780409	255.27	213	334	394	230	144	181.04	149.59
PE_PGRS53	Rv3507	PE-PGRS family protein PE_PGRS53	hypoxia_late:22%; microaerophilic:16%	0.2892	0.384602262398503	281.26	150	342	474	191	307	86.14	69.65
MT2480	MT2480	hypothetical protein	hypoxia_late:29%	0.4183	0.831163913622321	253.68	318	93	107	382	496	20.17	13.99
Rv3064c	Rv3064c	integral membrane protein	hypoxia_late:12%	0.333	0.701044711855507	263.32	263	209	266	228	363	32.53	25.33
MT1556.1	MT1556.1	hypothetical protein	human_sputum:15%; ctl_stationary:13%; INDIGO_exponential:10%	0.4569	0.844740923576667	267.43	278	100	173	404	477	39.51	27.01
MTS1338	MTS1338	small intergenic RNA	cholesterol:30%; nutrient_limitation:25%; hypoxia_fatty_acids:14%	0.3044	0.519146316498331	279	216	316	510	239	169	404.35	324.43
Rv3195	Rv3195	hypothetical protein	hypoxia_late:20%; PBS_RIF_DDmtb:15%; nutrient_limitation:12%; ctl_stationary:10%	0.2916	0.518436331157754	270.21	236	333	330	216	247	23.87	19.06
Rvns02	Rvns02	10Sa RNA	ctl_stationary:12%; PBS_RIF_DDmtb:11%	0.2336	0.193928259031621	238.59	234	327	231	220	191	208.16	175.39
cysA1	Rv2397c	sulfate ABC transporter ATP-binding protein CysA	nutrient_limitation:34%; PBS_RIF_DDmtb:12%	0.2151	0.128217074327809	226.98	258	335	161	231	171	227.16	193.83
lprN	Rv3495c	Mce family lipoprotein LprN	butyrate_plus_glucose:9%	0.2246	0.149109974492449	237.34	243	340	235	221	164	185.14	156.92
MT1849.1	MT1849.1	hypothetical protein	PBS_RIF_DDmtb:24%; hypoxia_late:19%; ctl_stationary:17%	0.6109	0.90026184259179	256.6	416	70	98	331	540	5.42	2.48
Rv0045c	Rv0045c	hydrolase	PBS_RIF_DDmtb:10%	0.2257	0.20501342044349	237.31	245	307	187	246	210	148.29	125.37
MT1054.1	MT1054.1	hypothetical protein	butyrate_plus_glucose:13%; acidic_tyloxopol:11%	0.3089	0.588562609558251	286.59	225	287	296	257	379	99.07	79.03
Rv1571	Rv1571	hypothetical protein	hypoxia_late:32%	0.2542	0.354717217909141	267.61	220	298	297	260	267	106.7	88.19
Rv2005c	Rv2005c	universal stress protein	cholesterol:20%; ctl_stationary:15%; microaerophilic:14%; hypoxia_hypoxic:11%	0.2345	0.253510533358129	252.44	238	337	252	237	207	116.58	98.25
papA2	Rv3820c	trehalose-2-sulfate acyltransferase	hypoxia_late:9%	0.2331	0.210760105184237	258.99	231	368	291	229	193	93.96	79.2
Rv1619	Rv1619	hypothetical protein	hypoxia_late:14%	0.2258	0.235805233619977	242.07	248	314	200	243	213	74.63	63.06
Rv2708c	Rv2708c	hypothetical protein	cholesterol:11%	0.2966	0.577459870376678	300.09	268	423	472	219	173	288.9	232.84
Rv2632c	Rv2632c	hypothetical protein	acidic:32%; acidic_tyloxopol:12%	0.2652	0.42151132656713	277.06	221	308	401	270	206	315.01	259.28
Rv0634c	Rv0634c	glyoxalase II	tyloxopol:9%	0.2346	0.252134223211036	259.19	262	369	318	222	153	297.06	250.31
Rv0601c	Rv0601c	two component sensor kinase HK2	hypoxia_late:56%	0.3476	0.809129655076749	272.11	343	80	51	525	623	11.36	8.28
esxT	Rv3444c	ESAT-6 like protein EsxT	hypoxia_late:22%	0.3101	0.702313280300127	274.8	264	166	149	336	539	36.48	28.69
Rv1996	Rv1996	universal stress protein	cholesterol:33%; microaerophilic:13%	0.2254	0.211369530949878	258.82	239	350	298	249	175	269.65	228.87
Rv2980	Rv2980	hypothetical protein	hypoxia_late:32%	0.2936	0.582365399040077	305.07	252	380	476	244	211	92.69	74.49
fadE13	Rv0975c	acyl-CoA dehydrogenase FadE13	microaerophilic:70%	0.2638	0.509242301566937	270.25	241	258	214	271	381	20.79	16.94
Rv1515c	Rv1515c	hypothetical protein	hypoxia_late:16%	0.2424	0.322336573385291	269.17	233	351	294	238	239	71.27	59.72
Rv1693	Rv1693	hypothetical protein	zinc_limitation:9%	0.2718	0.492146295481654	290.34	240	348	442	235	216	366.64	300.86
Rv2893	Rv2893	oxidoreductase	hypoxia_late:25%; PBS_RIF_DDmtb:11%	0.2497	0.414077970577364	272.1	235	296	240	279	315	42.67	35.25
PPE61	Rv3532	PPE family protein PPE61	hypoxia_late:29%	0.2951	0.644303728961329	294.87	254	299	350	250	328	18.13	14.38
moaX	Rv3323c	MoaD-MoaE fusion protein MoaX	hypoxia_late:13%; human_sputum:11%	0.2893	0.670001132967707	282.89	306	306	336	226	248	57.66	46.38
galK	Rv0620	galactokinase	hypoxia_late:74%	0.4652	0.886924745940785	298.22	400	162	286	266	416	2.78	1.4
blaR	Rv1845c	sensor-transducer protein BlaR	hypoxia_fatty_acids:8%	0.2446	0.335399837586226	283.4	255	387	436	236	151	420.94	351.78
cydA	Rv1623c	cytochrome D ubiquinol oxidase subunit I CydA	tyloxopol:10%	0.2251	0.249951996300225	272.84	271	400	322	245	157	310.14	262.95
Rv3766	Rv3766	hypothetical protein	butyrate_plus_glucose:10%	0.2335	0.327793378599206	277.59	247	359	292	258	240	118.87	100.01
Rv0406c	Rv0406c	beta lactamase-like protein	hypoxia_late:18%	0.2287	0.324144638865953	270.65	256	352	227	253	273	91.74	77.49
MT2423.1	MT2423.1	hypothetical protein	acidic_tyloxopol:14%	0.2445	0.461146623161544	278.33	246	283	208	318	348	109.32	91.02
mce3C	Rv1968	Mce family protein Mce3C	hypoxia_late:28%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	0.3013	0.740123484117654	300.66	283	206	209	367	480	7.39	5.64
mpr18	Rvnc0018	fragment of putative small regulatory RNA	hypoxia_late:19%; zinc_limitation:13%	0.5721	0.942653206717869	278.71	501	64	85	381	593	34.74	20.66
mesT	Rv3176c	epoxide hydrolase MesT	hypoxia_late:16%; PBS_RIF_DDmtb:14%; hypoxia_fatty_acids:10%	0.3355	0.816135130387805	325.01	328	311	415	242	341	16.79	12.76
PPE30	Rv1802	PPE family protein PPE30	hypoxia_late:30%	0.2332	0.441709022983905	273.56	270	293	167	280	380	26.56	22.16
vapB48	Rv3697A	antitoxin VapB48	human_sputum:8%	0.2532	0.527111563154117	307.88	266	378	403	255	254	294.59	244.5
Rv3902c	Rv3902c	hypothetical protein	hypoxia_late:17%; ctl_stationary:15%	0.2653	0.647062290709502	299.54	280	265	181	316	497	32.42	26.53
Rv2309c	Rv2309c	integrase	tyloxopol:10%	0.2734	0.681756736957632	307.4	335	341	397	254	226	132.22	108
murF	Rv2157c	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	microaerophilic:46%	0.2259	0.360769624046864	294.47	275	398	374	263	188	184.6	156.04
Rv2038c	Rv2038c	sugar ABC transporter ATP-binding protein	hypoxia_late:15%; ctl_stationary:12%; human_sputum:10%	0.2723	0.693064417429379	305.3	348	357	300	232	298	29.99	24.34
Rv3857c	Rv3857c	membrane protein	human_sputum:13%	0.2403	0.463933295772504	307.28	260	388	419	273	220	541.63	455.37
Rv0455c	Rv0455c	hypothetical protein	human_sputum:17%	0.2919	0.609391229038265	357.53	244	468	544	205	386	494.88	400.07
PE_PGRS60	Rv3652	PE-PGRS family-related protein PE_PGRS60	hypoxia_late:23%	0.2937	0.7875715011034	314.02	313	260	346	313	342	82.77	66.19
PE_PGRS50	Rv3345c	PE-PGRS family protein PE_PGRS50	hypoxia_late:56%	0.2604	0.58693646012243	322.61	308	442	501	227	190	17.18	14.01
Rv3454	Rv3454	conserved membrane protein	PBS_RIF_DDmtb:33%	0.2461	0.455138235582449	326.91	253	435	432	281	259	51.02	42.39
Rv1154c	Rv1154c	hypothetical protein	ctl_stationary:9%	0.2702	0.626426144686596	331.81	269	385	469	267	291	63.5	51.88
korA	Rv2455c	2-oxoglutarate oxidoreductase subunit KorA	zinc_limitation:12%	0.1975	0.193001684578961	279.26	293	412	247	288	181	642.16	555.33
Rv0802c	Rv0802c	succinyl-CoA transferase	ctl_stationary:11%	0.259	0.583443660865326	326.07	267	414	406	297	263	95.84	79.11
Rv1805c	Rv1805c	hypothetical protein	acidic:23%; hypoxia_fatty_acids:12%; hypoxia_hypoxic:12%; acidic_tyloxopol:10%	0.2313	0.411054966880505	313.56	272	421	444	265	201	483.18	408.15
ilvB2	Rv3470c	acetolactate synthase large subunit	hypoxia_late:30%; ctl_stationary:12%	0.2431	0.52464324608108	317.82	259	375	337	276	350	22.23	18.39
sugC	Rv1238	sugar ABC transporter ATP-binding protein SugC	PBS_RIF_DDmtb:9%	0.211	0.283439078768009	297.74	274	434	316	264	221	151.21	129.36
Rv2654c	Rv2654c	antitoxin	hypoxia_late:79%	0.5851	0.960609837823396	310.5	578	13	10	790	852	4.86	1.99
Rv2253	Rv2253	hypothetical protein	PBS_RIF_DDmtb:21%; human_sputum:15%; ctl_stationary:14%; hypoxia_late:11%	0.2981	0.801333096135478	331.61	316	242	285	312	537	23.23	18.38
Rv2663	Rv2663	hypothetical protein	ctl_stationary:16%	0.2732	0.718718676880328	328.91	295	274	222	373	517	67.04	54.48
mmpL8	Rv3823c	integral membrane transport protein MmpL8	nutrient_limitation:14%; acidic:13%; butyrate_plus_glucose:12%	0.1908	0.19656918117266	281.71	321	424	198	302	195	174.43	151.5
MT3454	MT3454	hypothetical protein	hypoxia_late:14%; ctl_stationary:11%	0.2484	0.640385469412371	323.99	297	354	339	277	357	75.66	62.89
Rv1626	Rv1626	two-component system transcriptional regulator	ctl_exponential:13%; INDIGO_exponential:12%	0.221	0.37425184317096	325.03	284	470	471	272	180	977.38	831.33
Rv2001	Rv2001	hypothetical protein	hypoxia_late:16%; human_sputum:14%	0.2889	0.738460964939113	348.4	291	382	457	298	327	34.29	27.41
Rv2664	Rv2664	hypothetical protein	ctl_stationary:15%; hypoxia_fatty_acids:14%	0.3991	0.913026338561474	332.95	365	179	341	361	453	34.16	24.83
kdtB	Rv2965c	phosphopantetheine adenylyltransferase	hypoxia_late:11%	0.2375	0.552755709928098	331.72	292	411	417	283	271	153.52	128.92
TB9.4	Rv3208A	hypothetical protein	ctl_exponential:12%	0.2171	0.441188400034693	311.28	288	393	356	290	241	579.75	493.47
MT0768.1	MT0768.1	hypothetical protein	hypoxia_late:20%; PBS_RIF_DDmtb:13%; ctl_stationary:11%	0.5051	0.956650799205298	331.28	526	50	73	704	672	15.7	9.5
higB	Rv1955	toxin HigB	hypoxia_fatty_acids:32%	0.3121	0.872157188152994	329.37	368	233	365	287	410	37.63	29.71
MT2375	MT2375	hypothetical protein	INDIGO_exponential:10%	0.3207	0.85432047153536	356.93	312	173	257	459	686	74.49	57.64
Rv3632	Rv3632	membrane protein	hypoxia_late:11%; ctl_exponential:10%	0.2448	0.58016917380512	344.07	290	427	479	278	272	210.04	175.39
Rv1951c	Rv1951c	hypothetical protein	hypoxia_late:22%	0.2836	0.741940683394319	355.23	277	355	454	315	388	90.34	72.81
PPE46	Rv3018c	PPE family protein PPE46	hypoxia_late:46%	0.2377	0.607034374756722	331.9	289	349	253	321	466	19.84	16.44
Rv2774c	Rv2774c	hypothetical protein	human_sputum:16%	0.2881	0.798391416117459	350.59	359	379	481	261	293	80.71	65.12
kdpE	Rv1027c	transcriptional regulator KdpE	hypoxia_late:15%; ctl_stationary:13%	0.2679	0.732060821260611	334.93	286	259	230	410	533	21.64	17.52
Rv2577	Rv2577	hypothetical protein	hypoxia_late:26%; ctl_stationary:16%	0.2434	0.63538222607595	333.47	282	329	264	342	468	13.92	11.4
Rv2514c	Rv2514c	hypothetical protein	PBS_RIF_DDmtb:16%; ctl_stationary:12%; hypoxia_late:12%	0.3274	0.867970686604105	360.79	273	238	492	421	413	34.82	26.9
lppN	Rv2270	lipoprotein LppN	hypoxia_late:31%; ctl_stationary:12%	0.4228	0.939330755278975	343.76	448	148	279	386	530	7.8	5.03
PE16	Rv1430	PE family protein PE16	hypoxia_late:12%; ctl_stationary:11%	0.2067	0.405150859448144	321.09	294	444	302	292	286	64.2	54.99
Rv1891	Rv1891	hypothetical protein	acidic:12%	0.1934	0.305930435323297	305.59	326	429	244	314	234	598.75	519.29
PPE54	Rv3343c	PPE family protein PPE54	hypoxia_late:36%	0.1898	0.266808647257831	300.22	325	445	242	299	215	41.15	35.65
Rv2292c	Rv2292c	hypothetical protein	INDIGO_exponential:10%	0.2444	0.647346695029183	336.79	279	323	255	368	481	117.75	97.96
Rv2133c	Rv2133c	hypothetical protein	ctl_stationary:11%	0.2159	0.511027310419771	330.54	302	417	387	305	255	173.63	147.75
Rv0238	Rv0238	transcriptional regulator	human_sputum:9%	0.209	0.386174235014826	332.84	281	474	375	300	256	228.24	195.73
Rv0079	Rv0079	hypothetical protein	hypoxia_fatty_acids:18%; cholesterol:10%	0.1926	0.299686015816836	317.14	320	452	284	334	218	514.31	446.21
yrbE3B	Rv1965	integral membrane protein	hypoxia_late:27%; microaerophilic:14%; ctl_stationary:11%	0.3826	0.922163801316297	363.04	469	373	452	262	284	16.75	12.37
pca	Rv2967c	pyruvate carboxylase	hypoxia_late:14%	0.1882	0.269952651350832	309.69	331	436	254	333	217	129.35	112.47
espK	Rv3879c	ESX-1 secretion-associated protein EspK	PBS_RIF_DDmtb:10%	0.1959	0.275925957974433	332.62	309	520	367	309	198	392.2	339.35
ndh	Rv1854c	NADH dehydrogenase	zinc_limitation:12%	0.2022	0.314232737679327	334.58	299	514	390	293	214	211.98	182.45
Rv0499	Rv0499	hypothetical protein	hypoxia_late:14%	0.2112	0.412029828138199	345.35	265	448	418	338	277	158.89	135.54
